ensembl_id,gene_symbol
ENSGALG00000006032,IL13RA1
ENSGALG00000006033,GORASP1
ENSGALG00000006034,PITPNM3
ENSGALG00000006035,PDE3B
ENSGALG00000006036,
ENSGALG00000006037,MCM2
ENSGALG00000006038,TGFBR3
ENSGALG00000006039,SNED1
ENSGALG00000006040,UCKL1
ENSGALG00000006041,BNC1
ENSGALG00000006043,
ENSGALG00000006044,C2orf54
ENSGALG00000006045,SH3GL3
ENSGALG00000006046,DNAJC5
ENSGALG00000006047,TPRA1
ENSGALG00000006048,FAM64A
ENSGALG00000006049,MST4
ENSGALG00000006050,CYP2R1
ENSGALG00000006051,CDC7
ENSGALG00000006052,WDR48
ENSGALG00000006053,
ENSGALG00000006054,CALCA
ENSGALG00000006056,
ENSGALG00000006057,CLK4
ENSGALG00000006059,INSC
ENSGALG00000006060,SCN8A
ENSGALG00000006061,RAP2C
ENSGALG00000006062,ZBTB46
ENSGALG00000006064,TEKT1
ENSGALG00000006068,TNRC6A
ENSGALG00000006069,SMTNL2
ENSGALG00000006071,HS6ST2
ENSGALG00000006072,SCN10A
ENSGALG00000006073,NDUFAB1
ENSGALG00000006074,SOX6
ENSGALG00000006075,METTL7A
ENSGALG00000006076,RASGEF1C
ENSGALG00000006077,C5H11ORF58
ENSGALG00000006078,PALB2
ENSGALG00000006080,GPC4
ENSGALG00000006081,TMPRSS12
ENSGALG00000006083,LMNA
ENSGALG00000006084,WNT8C
ENSGALG00000006086,FAM13B
ENSGALG00000006087,GPC3
ENSGALG00000006088,DCTN5
ENSGALG00000006089,ATF1
ENSGALG00000006090,PLEKHA7
ENSGALG00000006091,
ENSGALG00000006092,ZGPAT
ENSGALG00000006093,
ENSGALG00000006094,PHF6
ENSGALG00000006095,
ENSGALG00000006096,RPS13
ENSGALG00000006097,PLXNA1
ENSGALG00000006098,HPRT1
ENSGALG00000006099,ZFPM1
ENSGALG00000006100,ZNF644
ENSGALG00000006101,ARFRP1
ENSGALG00000006104,ADAMTSL3
ENSGALG00000006106,
ENSGALG00000006108,FAM122B
ENSGALG00000006109,MAPK8
ENSGALG00000006110,PLK1
ENSGALG00000006112,SCN5A
ENSGALG00000006113,ZNF326
ENSGALG00000006114,
ENSGALG00000006117,UBFD1
ENSGALG00000006118,ZC3H18
ENSGALG00000006119,FAM154B
ENSGALG00000006120,PKD2L2
ENSGALG00000006121,PIK3C2A
ENSGALG00000006122,EARS2
ENSGALG00000006123,RTEL1
ENSGALG00000006126,COL6A2
ENSGALG00000006127,FAM122A
ENSGALG00000006130,STMN3
ENSGALG00000006131,FTCD
ENSGALG00000006132,MOSPD1
ENSGALG00000006133,
ENSGALG00000006134,HOGA1
ENSGALG00000006137,ARHGAP22
ENSGALG00000006138,HELZ2
ENSGALG00000006139,DIP2B
ENSGALG00000006140,GGA2
ENSGALG00000006141,FUT13
ENSGALG00000006143,
ENSGALG00000006144,CDK10
ENSGALG00000006145,STK35
ENSGALG00000006147,NUCB2
ENSGALG00000006149,MORN4
ENSGALG00000006152,
ENSGALG00000006153,EXOG
ENSGALG00000006156,COG7
ENSGALG00000006157,
ENSGALG00000006158,ACVR2B
ENSGALG00000006160,HNRNPA0
ENSGALG00000006161,CHMP1A
ENSGALG00000006163,LARP4
ENSGALG00000006165,WDFY4
ENSGALG00000006167,LRRC8B
ENSGALG00000006168,LRRC18
ENSGALG00000006169,LIMA1
ENSGALG00000006170,LRRC8C
ENSGALG00000006171,
ENSGALG00000006172,ABCC8
ENSGALG00000006173,XYLB
ENSGALG00000006174,VSTM4
ENSGALG00000006175,DPEP1
ENSGALG00000006176,
ENSGALG00000006179,RPL13
ENSGALG00000006180,SLC9A6
ENSGALG00000006181,NUB1
ENSGALG00000006182,NSFL1C
ENSGALG00000006184,CERS5
ENSGALG00000006186,RAD21L1
ENSGALG00000006188,CCBL2
ENSGALG00000006189,CRYGN
ENSGALG00000006190,FHL1
ENSGALG00000006192,USH1C
ENSGALG00000006193,TXNRD3
ENSGALG00000006194,SLC52A3
ENSGALG00000006197,CSNK2A1
ENSGALG00000006198,LSS
ENSGALG00000006201,TBC1D20
ENSGALG00000006202,SCNN1B
ENSGALG00000006203,C20orf96
ENSGALG00000006204,CHST13
ENSGALG00000006205,GTF2B
ENSGALG00000006206,SPG7
ENSGALG00000006207,HM13
ENSGALG00000006208,OTOG
ENSGALG00000006209,SMARCD1
ENSGALG00000006210,ID1
ENSGALG00000006211,BCL2L1
ENSGALG00000006213,
ENSGALG00000006216,MYOD1
ENSGALG00000006217,S100B
ENSGALG00000006219,PRKAG2
ENSGALG00000006220,KCNC1
ENSGALG00000006221,KIF1A
ENSGALG00000006222,ANKRD11
ENSGALG00000006223,ACSF3
ENSGALG00000006225,EFTUD1
ENSGALG00000006226,KLHL3
ENSGALG00000006229,
ENSGALG00000006231,SERGEF
ENSGALG00000006233,GALNT11
ENSGALG00000006234,CBFA2T3
ENSGALG00000006235,SLC41A3
ENSGALG00000006236,TPH1
ENSGALG00000006237,PKN2
ENSGALG00000006239,
ENSGALG00000006240,ASIC1
ENSGALG00000006241,
ENSGALG00000006242,PABPN1L
ENSGALG00000006245,KLF15
ENSGALG00000006246,
ENSGALG00000006250,TRAPPC2L
ENSGALG00000006252,LMO4
ENSGALG00000006253,ILKAP
ENSGALG00000006254,ERCC6
ENSGALG00000006256,MAP7D3
ENSGALG00000006258,SPOCK1
ENSGALG00000006259,KIRREL
ENSGALG00000006260,KLHL30
ENSGALG00000006261,SEP15
ENSGALG00000006263,CCDC37
ENSGALG00000006264,KMT2C
ENSGALG00000006266,HPS5
ENSGALG00000006267,TPX2
ENSGALG00000006270,SCNN1G
ENSGALG00000006271,RACGAP1
ENSGALG00000006272,ECE2
ENSGALG00000006273,MYLK2
ENSGALG00000006277,
ENSGALG00000006278,
ENSGALG00000006281,GTF2H1
ENSGALG00000006282,GALNS
ENSGALG00000006283,THAP4
ENSGALG00000006284,SH3GLB1
ENSGALG00000006286,USP31
ENSGALG00000006290,HS3ST4
ENSGALG00000006292,
ENSGALG00000006294,PSMD2
ENSGALG00000006296,
ENSGALG00000006297,TRPC7
ENSGALG00000006298,ATG4B
ENSGALG00000006300,LDHA
ENSGALG00000006301,KDM8
ENSGALG00000006302,
ENSGALG00000006303,CTU2
ENSGALG00000006305,DTYMK
ENSGALG00000006306,UROC1
ENSGALG00000006307,NSMCE1
ENSGALG00000006308,
ENSGALG00000006309,SMAD5
ENSGALG00000006310,DFNB31
ENSGALG00000006311,HDAC7
ENSGALG00000006312,TSG101
ENSGALG00000006313,IL4RA
ENSGALG00000006314,DPP6
ENSGALG00000006317,ING5
ENSGALG00000006318,IL21R
ENSGALG00000006319,TGFBI
ENSGALG00000006320,
ENSGALG00000006321,TWIST3
ENSGALG00000006322,
ENSGALG00000006323,LECT2
ENSGALG00000006324,PFKFB3
ENSGALG00000006325,
ENSGALG00000006326,MIF
ENSGALG00000006327,FBXL21
ENSGALG00000006328,CHCHD4
ENSGALG00000006329,IL9
ENSGALG00000006331,STAMBPL1
ENSGALG00000006332,RBM17
ENSGALG00000006334,LAP3
ENSGALG00000006335,IL2RA
ENSGALG00000006336,PAXIP1
ENSGALG00000006337,K123
ENSGALG00000006340,PIEZO1
ENSGALG00000006341,SLC25A48
ENSGALG00000006342,UEVLD
ENSGALG00000006343,ACTG2
ENSGALG00000006344,GSTT1
ENSGALG00000006345,
ENSGALG00000006346,JSC
ENSGALG00000006347,D2HGDH
ENSGALG00000006348,RAPGEF3
ENSGALG00000006350,DDT
ENSGALG00000006351,FAS
ENSGALG00000006352,CH25H
ENSGALG00000006353,ENDOU
ENSGALG00000006354,GAL3ST2
ENSGALG00000006355,SPTY2D1
ENSGALG00000006356,MKLN1
ENSGALG00000006357,XPC
ENSGALG00000006358,TMEM86A
ENSGALG00000006360,H2AFY
ENSGALG00000006361,NEU4
ENSGALG00000006362,HTR5A
ENSGALG00000006363,CABIN1
ENSGALG00000006365,PITX1
ENSGALG00000006367,PCBD2
ENSGALG00000006368,PTPN5
ENSGALG00000006370,TULP1
ENSGALG00000006371,C5orf24
ENSGALG00000006372,RBM33
ENSGALG00000006374,TBX6
ENSGALG00000006375,TM4SF19
ENSGALG00000006376,TMC3
ENSGALG00000006378,LIPA
ENSGALG00000006379,SHH
ENSGALG00000006382,PTPRJ
ENSGALG00000006384,
ENSGALG00000006385,UBXN7
ENSGALG00000006387,RNF32
ENSGALG00000006388,IL16
ENSGALG00000006389,
ENSGALG00000006390,CRKL
ENSGALG00000006392,RNF168
ENSGALG00000006393,GPR112
ENSGALG00000006394,IL9R
ENSGALG00000006395,WDR53
ENSGALG00000006398,FBXO45
ENSGALG00000006399,MESDC1
ENSGALG00000006400,LMBR1
ENSGALG00000006401,OSBPL5
ENSGALG00000006402,NRROS
ENSGALG00000006403,MESDC2
ENSGALG00000006404,DDX46
ENSGALG00000006405,CEP19
ENSGALG00000006406,BRS3.5
ENSGALG00000006407,
ENSGALG00000006408,PIGX
ENSGALG00000006409,PODXL
ENSGALG00000006410,HTATSF1
ENSGALG00000006411,CAMLG
ENSGALG00000006412,VGLL1
ENSGALG00000006413,CEMIP
ENSGALG00000006415,CD40LG
ENSGALG00000006417,SEC24A
ENSGALG00000006418,PDPK1
ENSGALG00000006420,ABHD17C
ENSGALG00000006421,SLC16A12
ENSGALG00000006422,KLHL22
ENSGALG00000006423,KCTD5
ENSGALG00000006424,JADE2
ENSGALG00000006425,SLC6A6
ENSGALG00000006426,PAK2
ENSGALG00000006427,CARS
ENSGALG00000006428,UBE2I
ENSGALG00000006430,MED15
ENSGALG00000006431,PANK1
ENSGALG00000006434,C14H16ORF42
ENSGALG00000006435,UBE2B
ENSGALG00000006436,AQP12
ENSGALG00000006437,NOM1
ENSGALG00000006438,MNX1
ENSGALG00000006439,ARHGEF6
ENSGALG00000006440,GAL3ST4
ENSGALG00000006441,GNPTG
ENSGALG00000006443,ART1
ENSGALG00000006445,ARNT2
ENSGALG00000006446,NAP1L4
ENSGALG00000006447,PHLDA2
ENSGALG00000006448,IRF10
ENSGALG00000006449,GRIP2
ENSGALG00000006450,UNKL
ENSGALG00000006453,TF
ENSGALG00000006454,SLC22A18
ENSGALG00000006455,SMPD4
ENSGALG00000006456,C16ORF45
ENSGALG00000006457,RBMX
ENSGALG00000006459,C12H3ORF19
ENSGALG00000006460,TTLL9
ENSGALG00000006461,UBE3C
ENSGALG00000006462,PPP2CA
ENSGALG00000006463,
ENSGALG00000006464,PDRG1
ENSGALG00000006465,CCDC51
ENSGALG00000006467,XKR7
ENSGALG00000006469,ATP12A
ENSGALG00000006470,
ENSGALG00000006471,SLCO2A1
ENSGALG00000006472,KCNQ1
ENSGALG00000006473,PLXNA4
ENSGALG00000006474,SKP1
ENSGALG00000006475,KIAA0430
ENSGALG00000006477,DNAJB6
ENSGALG00000006479,CCM2L
ENSGALG00000006480,TCF1
ENSGALG00000006482,FAH
ENSGALG00000006483,AMOTL2
ENSGALG00000006486,RPP30
ENSGALG00000006487,
ENSGALG00000006488,RYK
ENSGALG00000006489,CHCHD3
ENSGALG00000006490,SCN3B
ENSGALG00000006491,ANKRD1
ENSGALG00000006494,GRAMD1B
ENSGALG00000006495,
ENSGALG00000006496,SENP2
ENSGALG00000006497,ZIC3
ENSGALG00000006498,PTPRN2
ENSGALG00000006500,NDE1
ENSGALG00000006501,GGT5
ENSGALG00000006502,PCGF5
ENSGALG00000006503,VDAC1
ENSGALG00000006504,
ENSGALG00000006505,ZFAND6
ENSGALG00000006506,C13H5ORF15
ENSGALG00000006507,CLMP
ENSGALG00000006508,FGF13
ENSGALG00000006511,BCL2A1
ENSGALG00000006512,HSPA8
ENSGALG00000006513,F9
ENSGALG00000006514,FSTL4
ENSGALG00000006515,BSX
ENSGALG00000006516,MTHFS
ENSGALG00000006518,C11orf63
ENSGALG00000006519,DD1
ENSGALG00000006520,MYH11
ENSGALG00000006521,TRPM5
ENSGALG00000006522,HCK
ENSGALG00000006523,IGF2BP2
ENSGALG00000006524,NOC3L
ENSGALG00000006525,NCAPG2
ENSGALG00000006526,PLXNB1
ENSGALG00000006527,CRTAM
ENSGALG00000006530,TSSC4
ENSGALG00000006531,TRA2B
ENSGALG00000006532,FOPNL
ENSGALG00000006534,PEX11A
ENSGALG00000006538,TBC1D12
ENSGALG00000006539,C9H21ORF2
ENSGALG00000006540,
ENSGALG00000006542,ESYT2
ENSGALG00000006543,PFKL
ENSGALG00000006544,SRPK3
ENSGALG00000006546,TAPA1
ENSGALG00000006547,PROCR
ENSGALG00000006550,TSPAN32
ENSGALG00000006551,TH
ENSGALG00000006552,INS
ENSGALG00000006555,IGF2
ENSGALG00000006556,
ENSGALG00000006558,WDR60
ENSGALG00000006560,SEMA3A
ENSGALG00000006561,MRPL23
ENSGALG00000006562,MCF2
ENSGALG00000006563,SEMA3D
ENSGALG00000006564,DNAJB11
ENSGALG00000006565,
ENSGALG00000006566,TBCCD1
ENSGALG00000006567,UBASH3B
ENSGALG00000006568,TM9SF4
ENSGALG00000006569,
ENSGALG00000006571,SETD5
ENSGALG00000006572,TNNT3
ENSGALG00000006574,CRYGS
ENSGALG00000006575,VPAC2
ENSGALG00000006576,GRM3
ENSGALG00000006582,
ENSGALG00000006583,LSP1
ENSGALG00000006584,
ENSGALG00000006586,PLAGL2
ENSGALG00000006588,LRRC75B
ENSGALG00000006591,TNNI2
ENSGALG00000006592,
ENSGALG00000006593,CLDN18
ENSGALG00000006594,POFUT1
ENSGALG00000006596,SNRPD3
ENSGALG00000006597,DZIP1L
ENSGALG00000006598,SORL1
ENSGALG00000006599,ZMYND11
ENSGALG00000006600,A4GNT
ENSGALG00000006601,MTMR14
ENSGALG00000006602,SYT8
ENSGALG00000006604,KIF3B
ENSGALG00000006606,KIAA1324L
ENSGALG00000006607,GUCD1
ENSGALG00000006608,
ENSGALG00000006609,EPHB1
ENSGALG00000006611,KIF7
ENSGALG00000006612,ASXL1
ENSGALG00000006613,CTSD
ENSGALG00000006614,TECTA
ENSGALG00000006617,BCCIP
ENSGALG00000006619,FBXO3
ENSGALG00000006622,FRA10AC1
ENSGALG00000006623,ATP11C
ENSGALG00000006624,KY
ENSGALG00000006626,PDE6C
ENSGALG00000006627,UPB1
ENSGALG00000006628,DMTF1
ENSGALG00000006629,RBP4
ENSGALG00000006630,COMMD7
ENSGALG00000006631,TICRR
ENSGALG00000006632,CEP63
ENSGALG00000006633,TMEM243
ENSGALG00000006634,DNMT3B
ENSGALG00000006635,RHCG
ENSGALG00000006636,ARL13A
ENSGALG00000006637,
ENSGALG00000006638,GRIK4
ENSGALG00000006639,CEP55
ENSGALG00000006640,BRPF1
ENSGALG00000006641,POLG
ENSGALG00000006642,
ENSGALG00000006643,HSPA14
ENSGALG00000006644,ACSL6
ENSGALG00000006645,LIPH
ENSGALG00000006646,ABCC1
ENSGALG00000006647,DUSP8
ENSGALG00000006648,SPECC1L
ENSGALG00000006649,TMEM41A
ENSGALG00000006651,OGG1
ENSGALG00000006652,DIP2C
ENSGALG00000006653,GMCSF
ENSGALG00000006654,KK34
ENSGALG00000006655,MAP3K13
ENSGALG00000006656,FRMD4A
ENSGALG00000006657,MAPRE1
ENSGALG00000006658,FANCI
ENSGALG00000006659,MOB2
ENSGALG00000006662,BPIFB8
ENSGALG00000006663,ARHGEF12
ENSGALG00000006665,GALNT6
ENSGALG00000006666,BPIFB7
ENSGALG00000006670,PPP1R3C
ENSGALG00000006671,
ENSGALG00000006672,LARP4B
ENSGALG00000006673,POU2F3
ENSGALG00000006674,BPIFB6
ENSGALG00000006676,RLBP1
ENSGALG00000006677,P4HA2
ENSGALG00000006678,CAMK1
ENSGALG00000006679,BPIFB4
ENSGALG00000006680,EHHADH
ENSGALG00000006681,BRSK2
ENSGALG00000006682,BEND7
ENSGALG00000006688,TADA3
ENSGALG00000006689,ABHD2
ENSGALG00000006690,ECHDC3
ENSGALG00000006691,ARPC4
ENSGALG00000006693,
ENSGALG00000006694,UPF2
ENSGALG00000006695,BCR
ENSGALG00000006697,TOLLIP
ENSGALG00000006698,ABCC6
ENSGALG00000006700,PROSER2
ENSGALG00000006702,MFGE8
ENSGALG00000006703,GTPBP4
ENSGALG00000006704,VPS8
ENSGALG00000006705,MYOF
ENSGALG00000006706,USP6NL
ENSGALG00000006707,NOX1
ENSGALG00000006708,COL23A1
ENSGALG00000006710,RAB36
ENSGALG00000006712,RTDR1
ENSGALG00000006713,CELF2
ENSGALG00000006714,CCDC61
ENSGALG00000006715,OAF
ENSGALG00000006716,
ENSGALG00000006717,
ENSGALG00000006719,GNAZ
ENSGALG00000006720,
ENSGALG00000006722,TRIM29
ENSGALG00000006723,
ENSGALG00000006724,
ENSGALG00000006725,ACAN
ENSGALG00000006726,GATA3
ENSGALG00000006728,
ENSGALG00000006729,CYP26A1
ENSGALG00000006730,
ENSGALG00000006731,TAF3
ENSGALG00000006736,AEN
ENSGALG00000006738,CDK5RAP1
ENSGALG00000006740,
ENSGALG00000006742,PVRL1
ENSGALG00000006743,YWHAH
ENSGALG00000006744,
ENSGALG00000006746,
ENSGALG00000006749,WDR37
ENSGALG00000006750,DET1
ENSGALG00000006751,THY1
ENSGALG00000006753,ATP5C1
ENSGALG00000006755,USP2
ENSGALG00000006756,
ENSGALG00000006757,XYLT1
ENSGALG00000006758,C1QTNF5
ENSGALG00000006760,CSTF2
ENSGALG00000006763,EXOC6
ENSGALG00000006764,MCAM
ENSGALG00000006766,DEPDC5
ENSGALG00000006767,UBE4A
ENSGALG00000006768,
ENSGALG00000006769,KIN
ENSGALG00000006771,RPS15A
ENSGALG00000006773,TRMT12
ENSGALG00000006775,TGM2
ENSGALG00000006776,KLHDC8B
ENSGALG00000006777,MRPS11
ENSGALG00000006779,PDZD3
ENSGALG00000006780,ARL6IP1
ENSGALG00000006782,MRPL46
ENSGALG00000006783,PLOD2
ENSGALG00000006784,
ENSGALG00000006785,IRF1
ENSGALG00000006786,SYTL4
ENSGALG00000006787,CCDC71
ENSGALG00000006788,CREPT
ENSGALG00000006790,KIF11
ENSGALG00000006791,TTI1
ENSGALG00000006792,VSTM2L
ENSGALG00000006793,NTRK3
ENSGALG00000006794,RAD50
ENSGALG00000006795,ABCG4
ENSGALG00000006796,SRPX2
ENSGALG00000006797,ADARB2
ENSGALG00000006799,AP2A2
ENSGALG00000006801,IL-13
ENSGALG00000006802,LAMB2
ENSGALG00000006803,ACTL10
ENSGALG00000006804,ODF2L
ENSGALG00000006805,
ENSGALG00000006806,HINFP
ENSGALG00000006807,PLSCR5
ENSGALG00000006808,TSPAN6
ENSGALG00000006809,CHOBF-1
ENSGALG00000006810,
ENSGALG00000006811,ZIC1
ENSGALG00000006812,TTC36
ENSGALG00000006817,CTNNBL1
ENSGALG00000006818,KMT2A
ENSGALG00000006819,AGBL1
ENSGALG00000006821,TNMD
ENSGALG00000006822,PCDH19
ENSGALG00000006824,USP19
ENSGALG00000006826,KLHL25
ENSGALG00000006827,IL4
ENSGALG00000006829,
ENSGALG00000006830,CHID1
ENSGALG00000006832,WFDC2
ENSGALG00000006833,ITIH2
ENSGALG00000006834,CPB1
ENSGALG00000006835,TNNC2
ENSGALG00000006836,SNX21
ENSGALG00000006837,TSPAN4
ENSGALG00000006838,
ENSGALG00000006839,DIAPH1
ENSGALG00000006840,AKAP13
ENSGALG00000006841,POLR2L
ENSGALG00000006842,ACOT8
ENSGALG00000006843,NCBP2
ENSGALG00000006845,SYT17
ENSGALG00000006848,ZSWIM3
ENSGALG00000006851,
ENSGALG00000006853,QARS
ENSGALG00000006854,NEURL2
ENSGALG00000006855,MFI2
ENSGALG00000006856,CD151
ENSGALG00000006857,SPATA20
ENSGALG00000006859,SV2B
ENSGALG00000006860,KIF3A
ENSGALG00000006861,COQ7
ENSGALG00000006862,
ENSGALG00000006863,SHC1
ENSGALG00000006864,COL24A1
ENSGALG00000006865,
ENSGALG00000006867,QRICH1
ENSGALG00000006868,CRACR2B
ENSGALG00000006871,SLCO3A1
ENSGALG00000006872,PISD
ENSGALG00000006873,RASSF7
ENSGALG00000006876,CTSA
ENSGALG00000006877,KLHL4
ENSGALG00000006879,LRRC56
ENSGALG00000006880,SLC38A10
ENSGALG00000006882,ST8SIA2
ENSGALG00000006883,ENTHD2
ENSGALG00000006884,MARCH5
ENSGALG00000006885,H-RAS
ENSGALG00000006886,DACH2
ENSGALG00000006887,FAM174B
ENSGALG00000006889,TMC7
ENSGALG00000006891,ITIH5
ENSGALG00000006894,PLTP
ENSGALG00000006895,CEP131
ENSGALG00000006897,
ENSGALG00000006898,EIF4ENIF1
ENSGALG00000006899,
ENSGALG00000006900,
ENSGALG00000006901,AATK
ENSGALG00000006902,ZNF335
ENSGALG00000006903,SEPT8
ENSGALG00000006904,RNH1
ENSGALG00000006906,CHM
ENSGALG00000006907,SOWAHA
ENSGALG00000006908,DLG1
ENSGALG00000006910,IMPDH2
ENSGALG00000006911,TMC5
ENSGALG00000006912,CPEB3
ENSGALG00000006915,BAIAP2
ENSGALG00000006916,GDE1
ENSGALG00000006917,CHKA
ENSGALG00000006919,POF1B
ENSGALG00000006921,DRG1
ENSGALG00000006922,
ENSGALG00000006925,CCP110
ENSGALG00000006926,CLDN25
ENSGALG00000006928,DALRD3
ENSGALG00000006929,ZNF6
ENSGALG00000006930,SLC12A5
ENSGALG00000006933,C16orf52
ENSGALG00000006934,PATZ1
ENSGALG00000006935,BTAF1
ENSGALG00000006936,WDR6
ENSGALG00000006937,P4HTM
ENSGALG00000006938,RPTOR
ENSGALG00000006939,PFKP
ENSGALG00000006941,
ENSGALG00000006942,PIK3IP1
ENSGALG00000006944,
ENSGALG00000006947,BDH1
ENSGALG00000006949,
ENSGALG00000006950,LIMK2
ENSGALG00000006951,
ENSGALG00000006955,CCNJ
ENSGALG00000006956,ARIH2
ENSGALG00000006957,VWA3A
ENSGALG00000006958,
ENSGALG00000006960,RNF185
ENSGALG00000006963,ENDOV
ENSGALG00000006964,SDR42E2
ENSGALG00000006965,C12orf43
ENSGALG00000006966,ZNF518A
ENSGALG00000006968,HNF1A
ENSGALG00000006969,USP28
ENSGALG00000006971,CDK5RAP2
ENSGALG00000006973,BLNK
ENSGALG00000006974,DDX27
ENSGALG00000006975,TBC1D22A
ENSGALG00000006976,
ENSGALG00000006978,APOOL
ENSGALG00000006979,SPPL3
ENSGALG00000006981,MCTP2
ENSGALG00000006982,EEF2K
ENSGALG00000006983,DNTT
ENSGALG00000006986,
ENSGALG00000006987,
ENSGALG00000006988,RNF213
ENSGALG00000006989,
ENSGALG00000006992,MMP9
ENSGALG00000006995,APOD
ENSGALG00000006997,BRINP1
ENSGALG00000006998,LRP5
ENSGALG00000007000,NR2F2
ENSGALG00000007001,TLR4
ENSGALG00000007003,
ENSGALG00000007004,HTR3A
ENSGALG00000007005,PPP1R2
ENSGALG00000007007,KNDC1
ENSGALG00000007008,POLR3E
ENSGALG00000007009,NCOA5
ENSGALG00000007011,ZBTB16
ENSGALG00000007012,ARRDC4
ENSGALG00000007014,PYROXD2
ENSGALG00000007015,CD40
ENSGALG00000007016,FAM169B
ENSGALG00000007017,RBM7
ENSGALG00000007018,SLC26A11
ENSGALG00000007021,PCNT
ENSGALG00000007022,
ENSGALG00000007023,PRKAR2A
ENSGALG00000007024,REXO2
ENSGALG00000007025,CPNE8
ENSGALG00000007027,SGSH
ENSGALG00000007028,
ENSGALG00000007030,
ENSGALG00000007032,
ENSGALG00000007035,
ENSGALG00000007036,PITRM1
ENSGALG00000007037,PPP6R3
ENSGALG00000007038,ASTN2
ENSGALG00000007039,IGF1R
ENSGALG00000007040,ACAP2
ENSGALG00000007041,HDX
ENSGALG00000007042,CCDC40
ENSGALG00000007043,
ENSGALG00000007044,METTL9
ENSGALG00000007045,GPR123
ENSGALG00000007046,BUD13
ENSGALG00000007047,GAL
ENSGALG00000007048,SYNM
ENSGALG00000007050,
ENSGALG00000007052,PXK
ENSGALG00000007053,FAM43A
ENSGALG00000007054,TBC1D16
ENSGALG00000007055,
ENSGALG00000007056,KLF6
ENSGALG00000007057,LRRC28
ENSGALG00000007058,LSG1
ENSGALG00000007059,IGSF6
ENSGALG00000007063,CBX4
ENSGALG00000007065,GJD4
ENSGALG00000007069,ADAMTS17
ENSGALG00000007070,OTOA
ENSGALG00000007072,ACADS
ENSGALG00000007075,ATP13A3
ENSGALG00000007076,CCNY
ENSGALG00000007077,CPT1A
ENSGALG00000007078,ENTPD1
ENSGALG00000007079,PAPPA
ENSGALG00000007080,
ENSGALG00000007082,CREM
ENSGALG00000007084,DUSP12
ENSGALG00000007089,KDELR2
ENSGALG00000007090,CPN1
ENSGALG00000007092,LYSMD4
ENSGALG00000007093,CYTH1
ENSGALG00000007095,CUL2
ENSGALG00000007096,
ENSGALG00000007097,RPS6KA6
ENSGALG00000007098,KIF21A
ENSGALG00000007099,LEAP2
ENSGALG00000007100,MEF2A
ENSGALG00000007101,ZNF259
ENSGALG00000007102,MLEC
ENSGALG00000007103,PDHB
ENSGALG00000007104,LRRC15
ENSGALG00000007106,DNAH17
ENSGALG00000007107,
ENSGALG00000007109,APOAIV
ENSGALG00000007110,
ENSGALG00000007111,KCTD6
ENSGALG00000007112,LINS
ENSGALG00000007113,TNC
ENSGALG00000007114,APOA1
ENSGALG00000007115,ASB7
ENSGALG00000007116,CABP1
ENSGALG00000007118,
ENSGALG00000007119,DAGLB
ENSGALG00000007121,TNFSF8
ENSGALG00000007123,
ENSGALG00000007124,POP5
ENSGALG00000007125,PARD3
ENSGALG00000007126,AFF4
ENSGALG00000007127,FADS1
ENSGALG00000007128,SH3BGRL
ENSGALG00000007129,ALDH6
ENSGALG00000007130,CRAC1A
ENSGALG00000007131,
ENSGALG00000007132,ACOX2
ENSGALG00000007133,SMIM10
ENSGALG00000007135,
ENSGALG00000007138,MED28
ENSGALG00000007139,FAM107A
ENSGALG00000007140,NRP1
ENSGALG00000007141,LRRK1
ENSGALG00000007142,ABCD2
ENSGALG00000007143,RNF10
ENSGALG00000007144,
ENSGALG00000007145,ITGB1
ENSGALG00000007147,
ENSGALG00000007149,CYTH3
ENSGALG00000007150,OPA1
ENSGALG00000007151,BRWD3
ENSGALG00000007152,FAM3D
ENSGALG00000007153,
ENSGALG00000007155,RMI2
ENSGALG00000007157,FAM46D
ENSGALG00000007158,SOCS1
ENSGALG00000007160,ARHGAP36
ENSGALG00000007161,LRRK2
ENSGALG00000007162,VIMP
ENSGALG00000007167,CLEC16A
ENSGALG00000007168,C3orf67
ENSGALG00000007169,EPC1
ENSGALG00000007170,SNRPA1
ENSGALG00000007171,CIITA
ENSGALG00000007172,FHIT
ENSGALG00000007174,CHTL1A
ENSGALG00000007177,PTPRG
ENSGALG00000007178,FADS2
ENSGALG00000007179,ATP13A5
ENSGALG00000007181,PGS1
ENSGALG00000007182,C3orf14
ENSGALG00000007183,ERGIC2
ENSGALG00000007184,FEZF2
ENSGALG00000007185,COQ5
ENSGALG00000007186,C9orf91
ENSGALG00000007190,ATP6V1G1
ENSGALG00000007191,TK1
ENSGALG00000007193,HRASLS
ENSGALG00000007194,TMC6
ENSGALG00000007195,
ENSGALG00000007196,STXBP1
ENSGALG00000007197,
ENSGALG00000007198,ARL16
ENSGALG00000007199,TRIAP1
ENSGALG00000007203,RAB3IL1
ENSGALG00000007205,COX6A1
ENSGALG00000007206,
ENSGALG00000007208,
ENSGALG00000007210,
ENSGALG00000007211,CDH22
ENSGALG00000007215,KIF5B
ENSGALG00000007216,TVP23A
ENSGALG00000007217,BEST1
ENSGALG00000007218,MB21D2
ENSGALG00000007219,FGF12
ENSGALG00000007220,FTH
ENSGALG00000007222,UTS2D
ENSGALG00000007224,HGS
ENSGALG00000007226,OSTN
ENSGALG00000007227,MSI1
ENSGALG00000007229,PPP1R27
